Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,Vintage,Annual_Premium_bin,Response_pred,Response_prob
1,24,1,41,0,0,1,152,111,2,1,0.67964715
0,34,1,36,0,1,1,152,157,0,1,0.5206162
0,70,1,9,0,2,1,124,38,0,1,0.5694898
1,42,1,28,0,1,1,154,175,2,1,0.7394071
1,44,1,8,0,1,1,154,295,2,1,0.741882
1,53,1,28,0,1,1,26,35,2,1,0.7733847
0,43,1,28,0,1,1,26,90,2,1,0.8024667
1,46,1,46,0,1,1,124,107,2,1,0.7392791
1,68,1,17,0,1,1,122,78,2,1,0.50252676
1,24,1,37,0,0,1,152,66,2,1,0.53813124
1,25,1,28,0,0,1,152,98,2,1,0.64505684
1,47,1,7,0,1,1,26,271,0,1,0.74516284
1,39,1,0,0,1,1,124,214,0,1,0.6796005
1,42,1,28,0,1,1,124,261,2,1,0.76158464
1,57,1,28,0,2,1,26,199,2,1,0.836433
0,59,1,46,0,1,1,26,186,2,1,0.69107836
1,47,1,8,0,1,1,26,247,2,1,0.75937235
1,63,1,21,0,1,1,124,281,2,1,0.56968135
0,52,1,28,0,1,1,26,49,3,1,0.77648604
1,31,1,41,0,1,1,124,223,2,1,0.86679715
0,27,1,13,0,0,1,124,149,2,1,0.78920954
0,32,1,28,0,1,1,124,242,3,1,0.79868037
1,43,1,12,0,1,1,124,141,0,1,0.73354524
1,38,1,30,0,1,1,157,147,2,1,0.80353206
0,49,1,3,0,2,1,124,57,0,1,0.7263067
1,54,1,3,0,1,1,26,27,2,1,0.7594776
1,25,1,47,0,0,1,26,193,0,1,0.5784451
1,22,1,10,0,0,1,152,31,2,1,0.52274436
1,39,1,20,0,1,1,124,198,0,1,0.74315965
0,45,1,28,0,1,1,26,28,2,1,0.8073522
1,40,1,48,0,1,1,26,113,0,1,0.6926383
1,29,1,8,0,0,1,152,161,1,1,0.5389052
0,70,1,28,0,1,1,124,294,2,1,0.510135
0,56,1,28,0,1,1,26,72,2,1,0.73217005
1,48,1,0,0,1,1,26,14,0,1,0.5386198
0,32,1,46,0,1,1,23,113,0,1,0.6849449
1,57,1,28,0,1,1,26,216,2,1,0.755097
1,55,1,28,0,1,1,124,155,2,1,0.66534704
1,49,1,3,0,1,1,26,267,2,1,0.7741262
1,47,1,28,0,1,1,156,35,0,1,0.6975257
0,39,1,28,0,1,1,122,207,1,1,0.77582765
1,31,1,3,0,1,1,26,91,2,1,0.8562842
1,54,1,28,0,1,1,26,293,2,1,0.7715354
1,37,1,28,0,1,1,26,251,2,1,0.8196916
0,65,1,28,0,1,1,26,55,2,1,0.6689528
1,66,1,35,0,1,1,26,35,2,1,0.68422306
1,69,1,28,0,1,1,26,189,2,1,0.58943784
0,33,1,18,0,0,1,26,218,0,1,0.85533434
1,25,1,46,0,0,1,152,116,3,1,0.5611606
0,25,1,45,0,0,1,152,270,2,1,0.5022792
0,30,1,46,0,0,1,152,210,2,1,0.6272365
